,Player,position,sub_position,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x.1,Att_x.1,Cmp%.1,Cmp_x.2,Att_x.2,Cmp%.2,Cmp_x.3,Att_x.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh_df4.1,Fld.1,Def.1,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl.1,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6
13323,Juanmi Latasa,Attack,Centre-Forward,es ESP,FW,Getafe,es La Liga,22,2001,17.3,2,44,15,34.1,2.55,0.87,0.05,0.13,12.7,0,0,0,3.6,3.5,0.08,-1.6,-1.5,Matches,192,368,52.2,2382,380,121,209,57.9,46,97,47.4,7,18,38.9,0,1.5,1.4,-1.5,19,13,8,0,16,Matches,368,354,11,0,2,0,2,0,0,0,0,0,192,3,5,Matches,33,1.91,23,0,0,6,4,0,1,0.06,0,0,0,0,1,0,Matches,9,7,0,6,3,1,11,9.1,10,9,0,9,4,13,21,0,Matches,578,21,32,255,295,104,578,13,6,46.2,5,38.5,278,968,262,7,10,3,66,21,447,82,Matches
13331,Jude Bellingham,Midfield,Central Midfield,eng ENG,MF,Real Madrid,es La Liga,20,2003,25.7,19,62,34,54.8,2.41,1.32,0.29,0.53,14.8,0,1,1,11.1,10.3,0.17,7.9,7.7,Matches,1363,1543,88.3,19609,4025,856,930,92,387,428,90.4,76,90,84.4,6,5.3,4.3,0.7,48,137,45,3,196,Matches,1543,1490,43,18,18,14,21,12,1,1,0,0,1363,10,25,Matches,99,3.85,82,0,8,4,5,0,13,0.51,10,0,1,2,0,0,Matches,42,34,14,18,10,12,36,33.3,24,55,5,50,21,63,17,0,Matches,1897,21,202,978,746,135,1896,97,50,51.5,35,36.1,1235,6812,3434,85,73,26,53,40,1554,177,Matches
13359,Julian Brandt,Attack,Attacking Midfield,de GER,"MF,FW",Dortmund,de Bundesliga,27,1996,24.7,7,33,16,48.5,1.34,0.65,0.21,0.44,19.1,2,0,0,4.4,4.4,0.13,2.6,2.6,Matches,1054,1319,79.9,17725,4294,519,584,88.9,360,424,84.9,128,220,58.2,11,9.5,7.5,1.5,80,63,32,8,116,Matches,1319,1143,172,38,6,12,165,15,116,53,53,2,1054,4,24,Matches,133,5.38,78,43,7,4,0,1,17,0.69,9,6,1,1,0,0,Matches,17,14,8,8,1,10,27,37,17,20,3,17,8,25,18,0,Matches,1547,28,196,682,679,57,1547,67,27,40.3,38,56.7,884,5436,2228,74,58,17,44,42,1108,158,Matches
13361,Julian Chabot,Defender,Centre-Back,de GER,DF,K?ln,de Bundesliga,25,1998,30,0,19,3,15.8,0.63,0.1,0,0,11,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches,1361,1616,84.2,25807,10115,498,548,90.9,725,798,90.9,127,245,51.8,0,0.4,1.5,-0.4,9,81,5,1,71,Matches,1616,1405,208,108,0,12,4,2,0,0,0,0,1361,3,5,Matches,36,1.2,24,2,0,4,5,1,1,0.03,0,0,0,1,0,0,Matches,59,42,40,17,2,35,59,59.3,24,66,43,23,45,104,145,0,Matches,1985,361,1213,731,65,40,1985,19,9,47.4,8,42.1,1001,5034,2914,17,14,2,18,2,1076,8,Matches
13371,Julian Justvan,Attack,Attacking Midfield,de GER,"MF,FW",Darmstadt 98,de Bundesliga,25,1998,11.4,2,17,4,23.5,1.5,0.35,0.12,0.5,21.4,0,0,0,0.9,0.9,0.05,1.1,1.1,Matches,294,408,72.1,5159,2012,147,172,85.5,105,139,75.5,35,67,52.2,2,2.5,3.5,-0.5,23,34,19,3,56,Matches,408,358,49,13,5,7,41,14,18,11,7,0,294,1,16,Matches,46,4.05,30,8,5,2,1,0,2,0.18,2,0,0,0,0,0,Matches,10,4,2,7,1,3,17,17.6,14,12,2,10,11,21,6,1,Matches,517,15,75,259,191,20,517,37,16,43.2,19,51.4,291,1675,827,20,19,5,15,10,338,50,Matches
13386,Julian Ryerson,Defender,Right-Back,no NOR,DF,Dortmund,de Bundesliga,25,1997,19.6,4,18,8,44.4,0.92,0.41,0.22,0.5,19.5,0,0,0,1.8,1.8,0.1,2.2,2.2,Matches,974,1129,86.3,14916,3144,503,549,91.6,399,448,89.1,43,70,61.4,1,2.7,2.8,-1.7,14,46,7,5,64,Matches,1129,997,129,9,0,2,40,120,0,0,0,0,974,3,19,Matches,29,1.48,22,0,2,2,1,2,4,0.2,2,0,1,0,0,1,Matches,41,23,26,11,4,27,47,57.4,20,31,7,24,10,51,35,3,Matches,1346,60,430,588,343,32,1346,40,16,40,18,45,813,4244,2096,41,41,6,29,26,867,118,Matches
13393,Julian Weigl,Midfield,Defensive Midfield,de GER,MF,Gladbach,de Bundesliga,27,1995,30.7,2,17,4,23.5,0.55,0.13,0,0,25.2,1,2,2,2.4,0.9,0.05,-0.4,-0.9,Matches,1311,1473,89,23744,6245,522,568,91.9,629,673,93.5,130,169,76.9,3,2.1,1.4,0.9,24,105,10,1,105,Matches,1473,1375,94,86,2,10,3,3,1,0,0,0,1311,4,21,Matches,52,1.69,42,2,3,1,1,3,5,0.16,5,0,0,0,0,0,Matches,66,40,28,32,6,41,67,61.2,26,47,14,33,48,114,61,1,Matches,1781,95,582,1038,180,11,1779,24,14,58.3,6,25,932,3694,1713,14,16,1,17,9,1102,14,Matches
13409,Julien Laporte,Defender,Centre-Back,fr FRA,DF,Lorient,fr Ligue 1,29,1993,20.2,0,13,1,7.7,0.64,0.05,0,0,12.3,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,883,1023,86.3,18687,7085,251,271,92.6,482,515,93.6,140,219,63.9,0,0,0.3,0,1,66,7,1,56,Matches,1023,975,45,20,0,5,1,1,0,0,0,0,883,3,5,Matches,8,0.4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,23,14,15,7,1,16,36,44.4,20,36,26,10,11,34,116,1,Matches,1234,238,656,550,32,16,1234,2,1,50,1,50,876,4611,2433,5,3,1,1,2,819,3,Matches
13410,Julien Le Cardinal,Defender,Right-Back,fr FRA,DF,Brest,fr Ligue 1,25,1997,5.3,0,4,2,50,0.76,0.38,0,0,17.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,212,258,82.2,4339,1880,68,80,85,92,107,86,44,58,75.9,0,0.1,0.1,-0.1,2,18,0,0,24,Matches,258,246,11,5,0,3,5,6,0,0,0,0,212,1,3,Matches,9,1.71,4,1,1,1,1,1,2,0.38,1,0,0,0,1,0,Matches,19,11,11,7,1,8,12,66.7,4,6,3,3,13,32,26,0,Matches,343,39,160,157,28,7,343,5,3,60,2,40,201,1334,646,3,4,0,5,1,180,4,Matches
13413,Julien Ponceau,Attack,Attacking Midfield,fr FRA,MF,Lorient,fr Ligue 1,22,2000,24.9,3,33,13,39.4,1.32,0.52,0.09,0.23,19.9,0,0,0,3.3,3.3,0.1,-0.3,-0.3,Matches,1014,1200,84.5,15686,3946,516,575,89.7,377,424,88.9,69,106,65.1,2,2.7,1.9,-0.7,35,84,30,3,154,Matches,1200,1126,66,26,2,4,49,16,23,8,15,0,1014,8,29,Matches,83,3.33,58,7,7,6,4,1,8,0.32,6,0,0,2,0,0,Matches,32,15,12,14,6,9,30,30,21,22,1,21,19,51,20,0,Matches,1471,30,233,771,499,52,1471,85,42,49.4,38,44.7,1139,8029,3775,106,93,14,47,41,1058,152,Matches
13428,Julio Enciso,Attack,Second Striker,py PAR,"MF,FW",Brighton,eng Premier League,19,2004,5.3,0,28,8,28.6,5.31,1.52,0,0,21.2,0,0,0,1.4,1.4,0.05,-1.4,-1.4,Matches,132,178,74.2,1842,562,77,89,86.5,41,58,70.7,9,12,75,2,1.7,1.3,0.3,9,12,4,2,21,Matches,178,168,8,2,2,0,8,1,2,0,0,0,132,2,5,Matches,23,4.34,15,0,5,3,0,0,2,0.38,2,0,0,0,0,0,Matches,6,2,3,2,1,2,7,28.6,5,11,0,11,0,6,3,0,Matches,257,5,24,106,131,21,257,29,17,58.6,7,24.1,193,1299,839,28,20,7,15,8,202,29,Matches
13458,Junior Dina Ebimbe,Midfield,Right Midfield,fr FRA,"MF,DF",Eint Frankfurt,de Bundesliga,22,2000,21.7,5,52,15,28.8,2.39,0.69,0.1,0.33,15.1,0,0,0,5,5,0.1,0,0,Matches,715,935,76.5,10995,2999,379,451,84,275,343,80.2,38,65,58.5,3,2.9,3.7,0.1,20,62,19,3,79,Matches,935,839,93,5,7,5,21,88,0,0,0,0,715,3,27,Matches,54,2.48,38,0,8,5,2,1,6,0.28,6,0,0,0,0,0,Matches,44,29,15,17,12,18,41,43.9,23,28,7,21,9,53,39,1,Matches,1256,54,230,616,431,94,1256,90,42,46.7,44,48.9,687,3618,1760,57,32,25,59,30,831,157,Matches
13467,Junior Messias,Attack,Right Winger,br BRA,"MF,DF",Genoa,it Serie A,32,1991,11.7,1,22,3,13.6,1.88,0.26,0.05,0.33,18.2,1,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches,245,337,72.7,3861,1103,120,143,83.9,92,125,73.6,17,39,43.6,0,1.3,1.2,-1.3,15,24,12,5,29,Matches,337,307,30,5,1,3,24,14,4,2,2,0,245,0,7,Matches,42,3.59,26,4,2,4,6,0,5,0.43,3,0,0,1,1,0,Matches,26,20,19,5,2,8,19,42.1,11,9,1,8,5,31,22,0,Matches,490,23,100,208,194,28,490,43,16,37.2,18,41.9,282,2069,1138,35,29,6,24,13,309,75,Matches
13471,Junior Mwanga,Defender,Centre-Back,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,20,2003,16.1,1,20,4,20,1.24,0.25,0.05,0.25,19.9,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches,416,521,79.8,7563,1911,167,205,81.5,191,225,84.9,47,62,75.8,1,0.8,0.8,0.2,13,48,9,0,56,Matches,521,487,32,12,5,4,4,1,0,0,0,0,416,2,17,Matches,32,1.98,24,1,1,3,2,1,3,0.19,3,0,0,0,0,0,Matches,40,20,23,12,5,12,24,50,12,20,5,15,18,58,19,0,Matches,714,44,188,370,168,25,714,46,28,60.9,15,32.6,471,3113,1427,28,20,6,32,24,425,37,Matches
13475,Junior Sambia,Defender,Right-Back,fr FRA,"DF,MF",Salernitana,it Serie A,26,1996,11.5,1,12,4,33.3,1.05,0.35,0.08,0.25,25.9,5,0,0,0.5,0.5,0.04,0.5,0.5,Matches,397,508,78.1,6404,2412,213,238,89.5,135,182,74.2,38,63,60.3,2,0.9,0.6,1.1,12,30,10,5,41,Matches,508,419,88,8,0,1,28,75,5,1,4,0,397,1,10,Matches,27,2.36,18,4,1,3,1,0,4,0.35,2,2,0,0,0,0,Matches,12,5,8,1,3,6,11,54.5,5,15,7,8,11,23,28,0,Matches,634,40,183,287,170,18,634,24,5,20.8,12,50,308,1573,868,23,20,9,16,12,393,37,Matches
13479,Junya Ito,Attack,Right Winger,jp JPN,"FW,MF",Reims,fr Ligue 1,30,1993,30.2,3,46,15,32.6,1.53,0.5,0.07,0.2,16.6,1,0,0,4.5,4.5,0.1,-1.5,-1.5,Matches,741,1131,65.5,12890,5184,371,476,77.9,257,362,71,88,204,43.1,7,11.5,9.9,-4.5,80,82,58,26,139,Matches,1131,993,130,23,10,12,201,23,84,23,47,0,741,8,42,Matches,135,4.48,96,23,8,7,1,0,10,0.33,9,0,0,1,0,0,Matches,33,15,11,14,8,10,36,27.8,26,23,1,22,14,47,7,0,Matches,1428,15,134,538,776,100,1428,108,54,50,46,42.6,1069,7115,3389,123,76,35,72,37,1026,287,Matches
13510,Justin Kluivert,Attack,Left Winger,nl NED,"MF,FW",Bournemouth,eng Premier League,24,1999,21.3,7,56,20,35.7,2.63,0.94,0.13,0.35,17.4,3,0,0,6.2,6.2,0.11,0.8,0.8,Matches,288,421,68.4,4393,1193,147,194,75.8,104,137,75.9,18,32,56.3,1,1.9,1.6,-0.9,21,10,24,2,50,Matches,421,399,18,1,0,3,29,7,2,0,0,1,288,4,19,Matches,59,2.77,37,0,9,6,4,3,5,0.23,3,0,1,0,0,1,Matches,28,14,5,12,11,8,30,26.7,22,16,1,15,8,36,11,0,Matches,694,13,86,224,397,108,694,67,24,35.8,41,61.2,414,2930,1644,65,37,35,50,30,442,114,Matches
13544,Kacper Urbanski,Midfield,Defensive Midfield,pl POL,"MF,FW",Bologna,it Serie A,18,2004,10.3,0,17,6,35.3,1.65,0.58,0,0,17.6,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches,313,387,80.9,4813,1017,171,193,88.6,103,125,82.4,22,33,66.7,1,0.8,0.8,0.2,16,25,8,2,31,Matches,387,364,21,2,1,5,22,4,15,5,8,1,313,2,11,Matches,35,3.4,24,5,3,3,0,0,1,0.1,0,0,0,1,0,0,Matches,16,10,5,10,1,6,13,46.2,7,15,1,14,4,20,14,0,Matches,510,14,72,249,200,24,510,33,20,60.6,12,36.4,302,2006,823,25,17,5,22,14,357,78,Matches
13572,Kai Havertz,Attack,Attacking Midfield,de GER,"MF,FW",Arsenal,eng Premier League,24,1999,29.3,13,68,27,39.7,2.32,0.92,0.18,0.44,12.4,0,1,1,12.3,11.6,0.17,0.7,0.4,Matches,764,955,80,9583,2405,525,609,86.2,195,245,79.6,7,15,46.7,7,4.4,4.3,2.6,46,65,29,1,99,Matches,955,938,12,3,2,0,12,6,0,0,0,0,764,5,16,Matches,106,3.62,87,0,3,8,6,2,22,0.75,16,0,2,2,2,0,Matches,35,15,7,21,7,14,39,35.9,25,26,1,25,20,55,22,0,Matches,1282,29,143,541,611,184,1281,42,16,38.1,19,45.2,686,3077,1532,55,36,23,54,35,918,191,Matches
13579,Kaiky,Defender,Centre-Back,br BRA,DF,Almer?a,es La Liga,19,2004,5.8,1,3,1,33.3,0.52,0.17,0.33,1,11.4,0,0,0,0.2,0.2,0.08,0.8,0.8,Matches,217,263,82.5,4550,1819,58,67,86.6,122,133,91.7,30,52,57.7,0,0,0,0,1,18,1,0,24,Matches,263,252,11,10,0,3,1,1,0,0,0,0,217,0,4,Matches,3,0.52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7,4,6,0,1,3,6,50,3,9,7,2,3,10,29,1,Matches,317,50,175,137,6,4,317,4,3,75,1,25,182,1023,683,4,0,0,1,0,200,1,Matches
13583,Kaio Jorge,Attack,Centre-Forward,br BRA,FW,Frosinone,it Serie A,21,2002,9,3,25,12,48,2.77,1.33,0.08,0.17,14.9,1,1,2,5.4,3.8,0.16,-2.4,-1.8,Matches,116,159,73,1586,205,73,87,83.9,29,40,72.5,5,9,55.6,0,0.3,0.3,-0.3,8,7,2,0,11,Matches,159,133,26,0,0,1,3,1,0,0,0,0,116,0,5,Matches,21,2.33,13,0,1,5,1,1,1,0.11,0,0,0,0,1,0,Matches,6,4,0,1,5,3,4,75,1,6,0,6,1,7,0,0,Matches,245,0,9,118,123,43,243,18,5,27.8,13,72.2,140,577,183,6,6,4,23,9,160,46,Matches
13608,Kalvin Phillips,Midfield,Defensive Midfield,eng ENG,MF,West Ham,eng Premier League,27,1995,3.4,0,3,2,66.7,0.87,0.58,0,0,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,141,179,78.8,2507,567,62,74,83.8,64,77,83.1,12,20,60,0,0,0,0,0,24,0,0,19,Matches,179,170,7,6,1,1,1,1,0,0,0,0,141,2,2,Matches,5,1.46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,11,6,2,8,1,5,9,55.6,4,4,1,3,4,15,2,1,Matches,215,7,43,153,21,1,215,5,1,20,4,80,110,585,240,3,1,0,4,3,136,4,Matches
13628,Kamory Doumbia,Attack,Attacking Midfield,ml MLI,MF,Brest,fr Ligue 1,20,2003,9.8,6,25,11,44,2.56,1.13,0.24,0.55,17.1,0,0,0,4.2,4.2,0.17,1.8,1.8,Matches,420,487,86.2,6341,1497,213,234,91,161,184,87.5,23,34,67.6,5,0.9,0.7,4.1,12,42,6,0,48,Matches,487,472,14,5,2,0,8,3,2,0,2,0,420,1,8,Matches,27,2.76,22,0,2,3,0,0,7,0.72,7,0,0,0,0,0,Matches,28,18,8,10,10,10,29,34.5,19,14,0,14,9,37,6,0,Matches,641,10,76,357,220,37,641,29,13,44.8,15,51.7,482,2648,1049,22,22,6,32,18,449,43,Matches
13640,Kaoru Mitoma,Attack,Left Winger,jp JPN,FW,Brighton,eng Premier League,26,1997,16.5,3,34,15,44.1,2.06,0.91,0.09,0.2,13.2,0,0,0,3.5,3.5,0.1,-0.5,-0.5,Matches,509,650,78.3,6210,1486,357,413,86.4,110,153,71.9,9,24,37.5,4,2.7,3.6,1.3,25,23,34,5,64,Matches,650,639,9,1,3,0,44,7,1,0,0,0,509,2,18,Matches,62,3.76,47,0,10,3,2,0,10,0.61,6,0,3,1,0,0,Matches,13,6,3,7,3,5,19,26.3,14,15,1,14,5,18,12,0,Matches,852,17,79,270,514,136,852,94,39,41.5,44,46.8,616,4879,3147,121,54,62,38,15,677,239,Matches
13650,Karim Adeyemi,Attack,Right Winger,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,10.1,3,23,10,43.5,2.27,0.99,0.13,0.3,14.6,0,0,0,3.5,3.5,0.15,-0.5,-0.5,Matches,218,299,72.9,2929,719,135,162,83.3,61,83,73.5,8,18,44.4,1,2,1.6,-1,9,9,10,1,26,Matches,299,280,19,3,0,1,25,11,4,1,2,0,218,0,16,Matches,25,2.46,13,1,3,2,6,0,2,0.2,2,0,0,0,0,0,Matches,16,14,9,4,3,8,20,40,12,11,0,11,3,19,5,0,Matches,458,10,69,170,227,63,458,60,18,30,32,53.3,310,2413,1171,52,22,27,29,25,318,96,Matches
13665,Karim Onisiwo,Attack,Centre-Forward,at AUT,"FW,MF",Mainz 05,de Bundesliga,31,1992,16.6,1,33,7,21.2,1.99,0.42,0.03,0.14,14.8,0,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches,205,338,60.7,2977,710,117,166,70.5,52,88,59.1,19,31,61.3,3,1.3,1.3,1.7,16,19,9,5,27,Matches,338,304,30,0,3,1,21,5,0,0,0,0,205,4,20,Matches,51,3.07,29,0,5,9,8,0,7,0.42,3,0,1,3,0,0,Matches,17,8,4,6,7,6,11,54.5,5,18,4,14,2,19,7,0,Matches,538,12,45,211,285,77,538,45,19,42.2,17,37.8,323,1742,653,26,18,9,52,28,398,111,Matches
13691,Karol Linetty,Midfield,Central Midfield,pl POL,MF,Torino,it Serie A,28,1995,20.6,0,16,1,6.3,0.78,0.05,0,0,25.4,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches,755,884,85.4,12771,3517,367,412,89.1,308,343,89.8,62,84,73.8,0,0.8,0.7,-0.8,15,79,6,1,87,Matches,884,849,31,24,0,7,19,2,5,2,3,0,755,4,8,Matches,36,1.74,27,4,1,2,2,0,1,0.05,1,0,0,0,0,0,Matches,30,21,9,20,1,9,29,31,20,24,8,16,23,53,27,1,Matches,1068,42,192,703,182,13,1068,17,8,47.1,7,41.2,580,2736,1441,31,24,5,22,11,686,25,Matches
13694,Karol Swiderski,Attack,Centre-Forward,pl POL,"FW,MF",Hellas Verona,it Serie A,26,1997,5.6,2,15,6,40,2.68,1.07,0.13,0.33,13.7,0,0,0,1.7,1.7,0.12,0.3,0.3,Matches,84,120,70,1154,281,45,55,81.8,30,41,73.2,2,5,40,0,0.4,0.6,-0.4,8,5,4,1,13,Matches,120,108,9,0,0,0,3,0,1,0,0,0,84,3,8,Matches,17,3.04,13,0,1,0,3,0,1,0.18,1,0,0,0,0,0,Matches,7,3,1,3,3,2,3,66.7,1,6,4,2,1,8,8,0,Matches,200,6,25,89,88,22,200,11,3,27.3,7,63.6,107,364,126,3,3,2,14,8,124,19,Matches
13774,Keito Nakamura,Attack,Left Winger,jp JPN,"FW,MF",Reims,fr Ligue 1,23,2000,15.3,4,41,12,29.3,2.67,0.78,0.1,0.33,16.5,0,0,0,3.2,3.2,0.08,0.8,0.8,Matches,292,400,73,4714,1083,136,172,79.1,113,145,77.9,26,45,57.8,1,1.3,2.2,-0.3,14,28,16,2,56,Matches,400,391,5,1,2,5,23,2,1,1,0,0,292,4,13,Matches,37,2.41,30,0,3,4,0,0,3,0.2,3,0,0,0,0,0,Matches,28,11,9,10,9,17,37,45.9,20,15,2,13,6,34,7,0,Matches,570,11,78,227,280,66,570,32,19,59.4,13,40.6,424,2780,1412,48,24,17,34,28,396,141,Matches
13791,Kelvin Yeboah,Attack,Centre-Forward,it ITA,FW,Montpellier,fr Ligue 1,23,2000,3.1,0,6,3,50,1.96,0.98,0,0,15.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,58,79,73.4,762,190,35,40,87.5,18,26,69.2,1,4,25,0,0.3,0.1,-0.3,5,3,0,0,5,Matches,79,77,1,0,0,1,3,0,0,0,0,0,58,1,1,Matches,9,2.93,7,0,1,0,1,0,0,0,0,0,0,0,0,0,Matches,4,2,2,2,0,1,3,33.3,2,3,2,1,1,5,3,0,Matches,126,7,23,43,61,18,126,14,8,57.1,4,28.6,89,615,280,9,6,6,13,6,85,25,Matches
13833,Kenny Lala,Defender,Right-Back,mg MAD,DF,Brest,fr Ligue 1,31,1991,33,2,14,7,50,0.42,0.21,0.14,0.29,26.3,4,0,0,0.5,0.5,0.03,1.5,1.5,Matches,1713,2195,78,35548,12428,600,693,86.6,773,938,82.4,321,488,65.8,3,3.3,4.3,-0.3,35,164,45,19,200,Matches,2195,1784,404,85,0,20,143,310,9,3,6,0,1713,7,62,Matches,98,2.97,74,18,2,3,1,0,9,0.27,7,2,0,0,0,0,Matches,78,51,39,28,11,30,56,53.6,26,27,6,21,28,106,75,1,Matches,2471,130,687,1276,545,14,2471,38,19,50,18,47.4,1617,9146,3750,45,51,3,21,12,1461,98,Matches
13845,Kenny Tete,Defender,Right-Back,nl NED,DF,Fulham,eng Premier League,27,1995,9.6,1,4,1,25,0.42,0.1,0.25,1,7.9,0,0,0,0.9,0.9,0.21,0.1,0.1,Matches,418,523,79.9,6413,2614,236,269,87.7,146,181,80.7,27,44,61.4,0,0.4,0.5,-0.4,3,45,10,7,54,Matches,523,438,84,7,1,0,23,77,0,0,0,0,418,1,13,Matches,15,1.56,11,0,2,1,1,0,2,0.21,1,0,0,0,1,0,Matches,27,17,19,6,2,11,19,57.9,8,10,3,7,16,43,35,0,Matches,647,40,215,278,161,11,647,20,9,45,10,50,303,1400,650,20,15,2,10,3,366,38,Matches
13886,Keven Schlotterbeck,Defender,Centre-Back,de GER,DF,Bochum,de Bundesliga,26,1997,24.3,5,27,12,44.4,1.11,0.49,0.19,0.42,12.9,0,0,0,2,2,0.08,3,3,Matches,802,1027,78.1,15211,6371,282,344,82,434,503,86.3,78,140,55.7,1,0.6,1.1,0.4,10,53,5,1,93,Matches,1027,970,51,18,0,2,12,5,0,0,0,0,802,6,5,Matches,27,1.11,15,0,1,6,4,1,3,0.12,1,0,0,0,2,0,Matches,42,22,26,14,2,25,30,83.3,5,33,23,10,33,75,104,2,Matches,1329,200,655,573,108,66,1329,8,6,75,2,25,580,2496,1414,9,4,2,12,0,635,15,Matches
13894,Kevin Behrens,Attack,Centre-Forward,de GER,FW,Union Berlin,de Bundesliga,32,1991,14,4,41,13,31.7,2.92,0.93,0.1,0.31,10.8,0,0,0,6,6,0.15,-2,-2,Matches,215,336,64,3380,842,116,162,71.6,67,97,69.1,22,34,64.7,0,0.9,1.2,-0.9,16,24,7,0,45,Matches,336,323,11,0,2,0,6,3,0,0,0,0,215,2,15,Matches,35,2.5,25,0,0,2,7,1,2,0.14,1,0,0,0,1,0,Matches,13,10,3,7,3,1,4,25,3,7,2,5,6,19,19,0,Matches,499,21,43,226,235,69,499,7,4,57.1,3,42.9,244,985,342,11,13,4,39,12,372,93,Matches
13895,Kevin Behrens,Attack,Centre-Forward,de GER,FW,Wolfsburg,de Bundesliga,32,1991,6.8,1,11,6,54.5,1.61,0.88,0.09,0.17,11.6,0,0,0,1.6,1.6,0.15,-0.6,-0.6,Matches,112,175,64,1539,251,63,93,67.7,36,48,75,3,9,33.3,1,0.9,0.9,0.1,8,9,8,1,17,Matches,175,171,3,0,1,0,4,0,0,0,0,0,112,1,4,Matches,18,2.63,15,0,1,2,0,0,2,0.29,2,0,0,0,0,0,Matches,2,1,0,1,1,0,2,0,2,9,0,9,3,5,6,0,Matches,239,5,12,97,132,30,239,8,3,37.5,5,62.5,110,391,143,7,3,3,15,10,175,41,Matches
13907,Kevin Danso,Defender,Centre-Back,at AUT,DF,Lens,fr Ligue 1,24,1998,29.5,1,21,5,23.8,0.71,0.17,0.05,0.2,14.2,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches,1508,1719,87.7,27659,10926,573,622,92.1,779,856,91,128,196,65.3,0,0.4,0.7,-0.4,8,122,6,0,133,Matches,1719,1602,114,70,0,3,3,7,0,0,0,0,1508,3,7,Matches,32,1.08,27,0,0,3,1,1,3,0.1,3,0,0,0,0,0,Matches,24,14,12,11,1,15,30,50,15,43,30,13,23,47,115,1,Matches,2010,248,836,1093,98,22,2010,16,11,68.8,2,12.5,1411,8880,5038,27,29,0,24,8,1236,3,Matches
13908,Kevin De Bruyne,Attack,Attacking Midfield,be BEL,MF,Manchester City,eng Premier League,32,1991,13.6,4,44,17,38.6,3.24,1.25,0.09,0.24,21.4,6,0,0,2.4,2.4,0.05,1.6,1.6,Matches,732,971,75.4,11555,3364,426,481,88.6,223,293,76.1,66,134,49.3,10,11.5,7.1,-1.5,59,67,56,12,111,Matches,971,840,124,23,11,6,136,24,69,29,16,5,732,7,27,Matches,100,7.36,73,17,2,5,3,0,16,1.18,12,3,0,0,1,0,Matches,14,9,1,5,8,7,20,35,13,5,0,5,4,18,4,0,Matches,1103,2,35,354,724,86,1103,33,10,30.3,21,63.6,633,2916,1647,47,40,12,13,20,833,133,Matches
13929,Kevin Kampl,Midfield,Central Midfield,si SVN,MF,RB Leipzig,de Bundesliga,32,1990,15.1,1,6,1,16.7,0.4,0.07,0.17,1,22.2,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches,931,1019,91.4,15489,3486,424,446,95.1,428,460,93,58,76,76.3,0,1.8,1.5,-1.8,15,67,12,3,88,Matches,1019,983,36,28,3,0,11,8,0,0,0,0,931,0,8,Matches,38,2.51,33,0,2,1,1,1,3,0.2,3,0,0,0,0,0,Matches,19,8,8,9,2,10,21,47.6,11,19,7,12,11,30,14,1,Matches,1132,27,183,763,200,11,1132,14,10,71.4,3,21.4,743,4144,1978,28,27,1,15,14,839,27,Matches
