,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x.1,Att_x.1,Cmp%.1,Cmp_x.2,Att_x.2,Cmp%.2,Cmp_x.3,Att_x.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh_df4.1,Fld.1,Def.1,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl.1,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6,position,sub_position
1838,Pasquale Mazzocchi,it ITA,DF,Napoli,it Serie A,28.0,1995.0,4.8,0.0,5.0,1.0,20.0,1.05,0.21,0.0,0.0,24.5,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,Matches,225.0,276.0,81.5,3611.0,1120.0,136.0,148.0,91.9,74.0,100.0,74.0,15.0,24.0,62.5,1.0,0.2,0.3,0.8,3.0,18.0,6.0,3.0,24.0,Matches,276.0,237.0,39.0,4.0,2.0,3.0,14.0,35.0,0.0,0.0,0.0,0.0,225.0,0.0,2.0,Matches,7.0,1.48,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,Matches,5.0,2.0,1.0,2.0,2.0,2.0,3.0,66.7,1.0,5.0,1.0,4.0,1.0,6.0,13.0,0.0,Matches,328.0,12.0,92.0,155.0,82.0,6.0,328.0,18.0,6.0,33.3,9.0,50.0,190.0,1262.0,559.0,14.0,13.0,2.0,5.0,3.0,213.0,22.0,Matches,Defender,Right-Back
1839,Pasquale Mazzocchi,it ITA,DF,Salernitana,it Serie A,28.0,1995.0,14.1,0.0,8.0,1.0,12.5,0.57,0.07,0.0,0.0,28.6,1.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,Matches,460.0,635.0,72.4,6631.0,3051.0,276.0,317.0,87.1,149.0,210.0,71.0,20.0,68.0,29.4,1.0,1.3,1.0,-0.3,14.0,30.0,16.0,10.0,36.0,Matches,635.0,502.0,131.0,11.0,1.0,4.0,42.0,119.0,1.0,0.0,1.0,0.0,460.0,2.0,17.0,Matches,30.0,2.12,26.0,1.0,0.0,2.0,1.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,Matches,25.0,19.0,14.0,10.0,1.0,16.0,29.0,55.2,13.0,14.0,6.0,8.0,5.0,30.0,31.0,0.0,Matches,780.0,47.0,253.0,327.0,210.0,12.0,780.0,40.0,17.0,42.5,19.0,47.5,384.0,2438.0,1358.0,36.0,29.0,5.0,31.0,13.0,440.0,62.0,Matches,Defender,Right-Back
1841,Patric,es ESP,DF,Lazio,it Serie A,30.0,1993.0,17.9,2.0,6.0,2.0,33.3,0.34,0.11,0.33,1.0,19.5,0.0,0.0,0.0,1.4,1.4,0.23,0.6,0.6,Matches,1051.0,1199.0,87.7,20688.0,7423.0,370.0,389.0,95.1,504.0,542.0,93.0,160.0,242.0,66.1,0.0,0.2,0.3,-0.2,4.0,65.0,6.0,1.0,72.0,Matches,1199.0,1143.0,51.0,34.0,2.0,11.0,11.0,16.0,0.0,0.0,0.0,0.0,1051.0,5.0,4.0,Matches,9.0,0.5,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,13.0,8.0,10.0,3.0,0.0,8.0,18.0,44.4,10.0,15.0,9.0,6.0,6.0,19.0,44.0,0.0,Matches,1295.0,109.0,593.0,651.0,55.0,7.0,1295.0,0.0,0.0,,0.0,,791.0,3786.0,2229.0,3.0,4.0,0.0,4.0,0.0,983.0,12.0,Matches,Defender,Centre-Back
1843,Patrick Ciurria,it ITA,"DF,MF",Monza,it Serie A,28.0,1995.0,17.8,0.0,28.0,7.0,25.0,1.58,0.39,0.0,0.0,22.6,0.0,0.0,0.0,1.5,1.5,0.05,-1.5,-1.5,Matches,662.0,847.0,78.2,10671.0,3258.0,335.0,377.0,88.9,271.0,348.0,77.9,41.0,72.0,56.9,1.0,2.6,2.1,-1.6,30.0,46.0,28.0,10.0,68.0,Matches,847.0,740.0,106.0,7.0,2.0,2.0,53.0,92.0,7.0,2.0,4.0,0.0,662.0,1.0,25.0,Matches,53.0,2.98,43.0,4.0,2.0,2.0,1.0,1.0,3.0,0.17,2.0,0.0,0.0,1.0,0.0,0.0,Matches,30.0,18.0,13.0,13.0,4.0,13.0,21.0,61.9,8.0,20.0,5.0,15.0,9.0,39.0,28.0,0.0,Matches,1021.0,39.0,269.0,411.0,350.0,31.0,1021.0,24.0,9.0,37.5,11.0,45.8,597.0,2981.0,1581.0,41.0,41.0,9.0,19.0,6.0,711.0,94.0,Matches,Attack,Right Winger
1845,Patrick Herrmann,de GER,"FW,DF",Gladbach,de Bundesliga,32.0,1991.0,1.0,0.0,4.0,0.0,0.0,4.19,0.0,0.0,,18.8,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,Matches,29.0,44.0,65.9,545.0,160.0,16.0,23.0,69.6,7.0,11.0,63.6,6.0,7.0,85.7,0.0,0.1,0.1,-0.1,3.0,2.0,1.0,0.0,6.0,Matches,44.0,37.0,7.0,1.0,0.0,0.0,5.0,0.0,6.0,4.0,0.0,0.0,29.0,0.0,1.0,Matches,7.0,7.33,4.0,2.0,0.0,1.0,0.0,0.0,1.0,1.05,1.0,0.0,0.0,0.0,0.0,0.0,Matches,4.0,4.0,2.0,1.0,1.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,1.0,5.0,2.0,0.0,Matches,58.0,2.0,5.0,22.0,32.0,9.0,58.0,1.0,0.0,0.0,0.0,0.0,27.0,148.0,92.0,3.0,4.0,1.0,1.0,1.0,34.0,8.0,Matches,Attack,Right Winger
1847,Patrick Osterhage,de GER,MF,Bochum,de Bundesliga,23.0,2000.0,20.7,2.0,22.0,3.0,13.6,1.06,0.15,0.09,0.67,19.5,0.0,0.0,0.0,1.4,1.4,0.06,0.6,0.6,Matches,658.0,835.0,78.8,9287.0,2817.0,378.0,439.0,86.1,200.0,248.0,80.6,35.0,59.0,59.3,1.0,0.8,0.7,0.2,13.0,49.0,13.0,2.0,64.0,Matches,835.0,812.0,20.0,10.0,5.0,1.0,20.0,7.0,3.0,1.0,0.0,0.0,658.0,3.0,27.0,Matches,49.0,2.37,40.0,1.0,3.0,1.0,3.0,1.0,3.0,0.15,2.0,0.0,1.0,0.0,0.0,0.0,Matches,38.0,26.0,14.0,23.0,1.0,17.0,36.0,47.2,19.0,36.0,9.0,27.0,27.0,65.0,32.0,1.0,Matches,1081.0,58.0,252.0,592.0,251.0,29.0,1081.0,38.0,17.0,44.7,19.0,50.0,547.0,2899.0,1232.0,26.0,16.0,3.0,33.0,17.0,603.0,65.0,Matches,Midfield,Central Midfield
1848,Patrick Wimmer,at AUT,"FW,MF",Wolfsburg,de Bundesliga,22.0,2001.0,6.5,2.0,10.0,4.0,40.0,1.53,0.61,0.2,0.5,16.2,0.0,0.0,0.0,1.4,1.4,0.14,0.6,0.6,Matches,128.0,200.0,64.0,1822.0,525.0,78.0,101.0,77.2,35.0,57.0,61.4,5.0,15.0,33.3,0.0,0.1,0.3,-0.1,4.0,11.0,3.0,0.0,15.0,Matches,200.0,193.0,7.0,2.0,0.0,3.0,12.0,4.0,1.0,1.0,0.0,0.0,128.0,0.0,10.0,Matches,16.0,2.44,7.0,0.0,2.0,2.0,5.0,0.0,1.0,0.15,0.0,0.0,0.0,0.0,1.0,0.0,Matches,14.0,5.0,5.0,5.0,4.0,8.0,18.0,44.4,10.0,14.0,0.0,14.0,3.0,17.0,7.0,0.0,Matches,292.0,2.0,42.0,138.0,117.0,23.0,292.0,18.0,8.0,44.4,9.0,50.0,165.0,935.0,441.0,8.0,8.0,3.0,18.0,6.0,197.0,44.0,Matches,Attack,Right Winger
1849,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,27.0,1996.0,11.8,7.0,39.0,12.0,30.8,3.3,1.02,0.15,0.5,12.7,0.0,1.0,1.0,6.0,5.3,0.13,1.0,0.7,Matches,184.0,231.0,79.7,2218.0,317.0,129.0,155.0,83.2,42.0,50.0,84.0,3.0,4.0,75.0,0.0,1.0,1.6,-1.0,8.0,8.0,5.0,0.0,17.0,Matches,231.0,220.0,11.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,184.0,0.0,5.0,Matches,30.0,2.54,19.0,0.0,3.0,5.0,2.0,1.0,3.0,0.25,0.0,0.0,0.0,2.0,1.0,0.0,Matches,6.0,4.0,0.0,3.0,3.0,1.0,5.0,20.0,4.0,2.0,0.0,2.0,1.0,7.0,7.0,0.0,Matches,350.0,7.0,15.0,132.0,208.0,90.0,349.0,25.0,8.0,32.0,14.0,56.0,191.0,814.0,265.0,7.0,4.0,5.0,23.0,17.0,281.0,88.0,Matches,Attack,Centre-Forward
1851,Pau Torres,es ESP,DF,Aston Villa,eng Premier League,26.0,1997.0,27.4,2.0,12.0,5.0,41.7,0.44,0.18,0.17,0.4,15.4,0.0,0.0,0.0,1.0,1.0,0.08,1.0,1.0,Matches,1562.0,1788.0,87.4,29096.0,9616.0,524.0,566.0,92.6,887.0,952.0,93.2,126.0,226.0,55.8,0.0,0.4,0.7,-0.4,8.0,141.0,12.0,1.0,128.0,Matches,1788.0,1663.0,120.0,79.0,1.0,26.0,8.0,5.0,0.0,0.0,0.0,0.0,1562.0,5.0,9.0,Matches,23.0,0.84,22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches,29.0,18.0,17.0,11.0,1.0,14.0,30.0,46.7,16.0,28.0,12.0,16.0,14.0,43.0,75.0,0.0,Matches,1985.0,281.0,989.0,873.0,141.0,22.0,1985.0,28.0,17.0,60.7,9.0,32.1,1398.0,9039.0,5917.0,42.0,42.0,0.0,9.0,13.0,1456.0,16.0,Matches,Defender,Centre-Back
1852,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25.0,1997.0,3.4,0.0,2.0,0.0,0.0,0.59,0.0,0.0,,15.7,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,158.0,185.0,85.4,2723.0,717.0,61.0,73.0,83.6,76.0,81.0,93.8,14.0,19.0,73.7,0.0,0.0,0.1,0.0,0.0,16.0,0.0,0.0,13.0,Matches,185.0,183.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,2.0,Matches,6.0,1.75,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,14.0,9.0,2.0,10.0,2.0,6.0,7.0,85.7,1.0,5.0,1.0,4.0,6.0,20.0,11.0,0.0,Matches,231.0,16.0,52.0,142.0,37.0,1.0,231.0,4.0,3.0,75.0,0.0,0.0,168.0,633.0,179.0,0.0,4.0,0.0,4.0,1.0,149.0,2.0,Matches,Midfield,Defensive Midfield
1853,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,31.0,1991.0,0.2,0.0,1.0,0.0,0.0,4.5,0.0,0.0,,16.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,Matches,21.0,23.0,91.3,320.0,76.0,10.0,10.0,100.0,11.0,12.0,91.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Matches,23.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Matches,26.0,3.0,7.0,16.0,3.0,1.0,26.0,0.0,0.0,,0.0,,12.0,54.0,33.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,Matches,Defender,Left-Back
1854,Paul Jaeckel,de GER,DF,Union Berlin,de Bundesliga,25.0,1998.0,2.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,121.0,136.0,89.0,2388.0,943.0,45.0,46.0,97.8,54.0,60.0,90.0,20.0,25.0,80.0,0.0,0.1,0.1,-0.1,2.0,7.0,1.0,0.0,14.0,Matches,136.0,132.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,121.0,0.0,1.0,Matches,1.0,0.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7.0,2.0,4.0,3.0,0.0,5.0,9.0,55.6,4.0,3.0,2.0,1.0,4.0,11.0,7.0,0.0,Matches,161.0,9.0,81.0,77.0,4.0,0.0,161.0,1.0,0.0,0.0,0.0,0.0,95.0,379.0,194.0,1.0,1.0,0.0,1.0,1.0,109.0,1.0,Matches,Defender,Centre-Back
1855,Paul Pogba,fr FRA,MF,Juventus,it Serie A,30.0,1993.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,27.0,35.0,77.1,425.0,113.0,13.0,14.0,92.9,11.0,13.0,84.6,2.0,4.0,50.0,0.0,0.0,0.1,0.0,1.0,5.0,2.0,0.0,5.0,Matches,35.0,32.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,Matches,2.0,3.33,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,1.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,Matches,43.0,1.0,4.0,25.0,14.0,2.0,43.0,2.0,1.0,50.0,1.0,50.0,23.0,108.0,53.0,1.0,1.0,0.0,2.0,0.0,32.0,5.0,Matches,Midfield,Central Midfield
1857,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,29.0,1993.0,21.8,13.0,52.0,16.0,30.8,2.39,0.74,0.12,0.38,21.2,5.0,7.0,7.0,10.6,5.1,0.1,2.4,0.9,Matches,790.0,1000.0,79.0,12944.0,3000.0,409.0,461.0,88.7,272.0,330.0,82.4,80.0,140.0,57.1,9.0,4.3,4.0,4.7,50.0,67.0,37.0,0.0,122.0,Matches,1000.0,877.0,117.0,27.0,7.0,11.0,88.0,10.0,54.0,22.0,27.0,0.0,790.0,6.0,20.0,Matches,95.0,4.36,56.0,25.0,3.0,4.0,6.0,1.0,19.0,0.87,12.0,4.0,2.0,0.0,1.0,0.0,Matches,22.0,13.0,3.0,10.0,9.0,2.0,18.0,11.1,16.0,12.0,0.0,12.0,3.0,25.0,6.0,1.0,Matches,1277.0,8.0,87.0,590.0,612.0,88.0,1270.0,77.0,28.0,36.4,43.0,55.8,808.0,5078.0,2296.0,79.0,61.0,31.0,70.0,41.0,993.0,167.0,Matches,Attack,Second Striker
1859,Pawel Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,28.0,1995.0,23.8,0.0,9.0,1.0,11.1,0.38,0.04,0.0,0.0,11.5,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5,Matches,972.0,1173.0,82.9,20339.0,7048.0,247.0,302.0,81.8,587.0,647.0,90.7,131.0,199.0,65.8,0.0,0.0,0.1,0.0,2.0,60.0,2.0,0.0,89.0,Matches,1173.0,1102.0,70.0,52.0,0.0,11.0,2.0,10.0,0.0,0.0,0.0,0.0,972.0,1.0,12.0,Matches,11.0,0.46,8.0,1.0,0.0,2.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,Matches,53.0,30.0,33.0,18.0,2.0,17.0,29.0,58.6,12.0,17.0,9.0,8.0,24.0,77.0,114.0,1.0,Matches,1425.0,187.0,749.0,642.0,42.0,14.0,1425.0,5.0,4.0,80.0,1.0,20.0,749.0,3833.0,1819.0,11.0,8.0,0.0,13.0,5.0,787.0,5.0,Matches,Defender,Centre-Back
1861,Pedri,es ESP,"MF,FW",Barcelona,es La Liga,20.0,2002.0,16.4,4.0,15.0,7.0,46.7,0.91,0.43,0.27,0.57,14.5,0.0,0.0,0.0,3.1,3.1,0.21,0.9,0.9,Matches,1035.0,1189.0,87.0,17171.0,3933.0,497.0,555.0,89.5,435.0,478.0,91.0,78.0,95.0,82.1,2.0,4.2,4.1,-2.2,37.0,83.0,37.0,4.0,136.0,Matches,1189.0,1138.0,44.0,23.0,11.0,5.0,9.0,8.0,3.0,0.0,2.0,0.0,1035.0,7.0,23.0,Matches,69.0,4.21,63.0,1.0,1.0,1.0,3.0,0.0,6.0,0.37,6.0,0.0,0.0,0.0,0.0,0.0,Matches,33.0,24.0,16.0,13.0,4.0,8.0,27.0,29.6,19.0,27.0,3.0,24.0,14.0,47.0,10.0,0.0,Matches,1359.0,22.0,171.0,773.0,427.0,36.0,1359.0,38.0,16.0,42.1,20.0,52.6,823.0,4535.0,2333.0,41.0,42.0,7.0,31.0,15.0,1080.0,81.0,Matches,Midfield,Central Midfield
1862,Pedro,es ESP,"FW,MF",Lazio,it Serie A,36.0,1987.0,9.1,1.0,11.0,4.0,36.4,1.21,0.44,0.09,0.25,20.0,1.0,0.0,0.0,1.5,1.5,0.14,-0.5,-0.5,Matches,357.0,431.0,82.8,5072.0,974.0,214.0,236.0,90.7,109.0,132.0,82.6,17.0,33.0,51.5,1.0,2.1,1.5,-1.1,17.0,22.0,13.0,4.0,33.0,Matches,431.0,422.0,8.0,4.0,2.0,2.0,20.0,0.0,4.0,2.0,2.0,0.0,357.0,1.0,7.0,Matches,27.0,2.97,21.0,1.0,3.0,0.0,2.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Matches,16.0,12.0,5.0,7.0,4.0,3.0,12.0,25.0,9.0,16.0,2.0,14.0,3.0,19.0,1.0,0.0,Matches,551.0,4.0,60.0,297.0,203.0,25.0,551.0,32.0,14.0,43.8,14.0,43.8,334.0,2084.0,917.0,31.0,30.0,4.0,29.0,17.0,442.0,81.0,Matches,Attack,Attacking Midfield
1863,Pedro,es ESP,"FW,MF",Lazio,it Serie A,36.0,1987.0,9.1,1.0,11.0,4.0,36.4,1.21,0.44,0.09,0.25,20.0,1.0,0.0,0.0,1.5,1.5,0.14,-0.5,-0.5,Matches,357.0,431.0,82.8,5072.0,974.0,214.0,236.0,90.7,109.0,132.0,82.6,17.0,33.0,51.5,1.0,2.1,1.5,-1.1,17.0,22.0,13.0,4.0,33.0,Matches,431.0,422.0,8.0,4.0,2.0,2.0,20.0,0.0,4.0,2.0,2.0,0.0,357.0,1.0,7.0,Matches,27.0,2.97,21.0,1.0,3.0,0.0,2.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Matches,16.0,12.0,5.0,7.0,4.0,3.0,12.0,25.0,9.0,16.0,2.0,14.0,3.0,19.0,1.0,0.0,Matches,551.0,4.0,60.0,297.0,203.0,25.0,551.0,32.0,14.0,43.8,14.0,43.8,334.0,2084.0,917.0,31.0,30.0,4.0,29.0,17.0,442.0,81.0,Matches,Attack,Centre-Forward
1864,Pedro,es ESP,"FW,MF",Lazio,it Serie A,36.0,1987.0,9.1,1.0,11.0,4.0,36.4,1.21,0.44,0.09,0.25,20.0,1.0,0.0,0.0,1.5,1.5,0.14,-0.5,-0.5,Matches,357.0,431.0,82.8,5072.0,974.0,214.0,236.0,90.7,109.0,132.0,82.6,17.0,33.0,51.5,1.0,2.1,1.5,-1.1,17.0,22.0,13.0,4.0,33.0,Matches,431.0,422.0,8.0,4.0,2.0,2.0,20.0,0.0,4.0,2.0,2.0,0.0,357.0,1.0,7.0,Matches,27.0,2.97,21.0,1.0,3.0,0.0,2.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Matches,16.0,12.0,5.0,7.0,4.0,3.0,12.0,25.0,9.0,16.0,2.0,14.0,3.0,19.0,1.0,0.0,Matches,551.0,4.0,60.0,297.0,203.0,25.0,551.0,32.0,14.0,43.8,14.0,43.8,334.0,2084.0,917.0,31.0,30.0,4.0,29.0,17.0,442.0,81.0,Matches,Attack,Right Winger
1865,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,26.0,1997.0,28.8,1.0,17.0,6.0,35.3,0.59,0.21,0.06,0.17,19.8,0.0,0.0,0.0,1.5,1.5,0.09,-0.5,-0.5,Matches,1494.0,1743.0,85.7,25864.0,7906.0,653.0,701.0,93.2,631.0,692.0,91.2,146.0,254.0,57.5,1.0,1.1,2.8,-0.1,19.0,168.0,22.0,7.0,192.0,Matches,1743.0,1628.0,105.0,67.0,7.0,10.0,29.0,4.0,13.0,8.0,2.0,0.0,1494.0,10.0,13.0,Matches,69.0,2.39,61.0,3.0,0.0,3.0,0.0,2.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,Matches,50.0,28.0,20.0,29.0,1.0,30.0,76.0,39.5,46.0,22.0,5.0,17.0,31.0,81.0,28.0,0.0,Matches,1935.0,61.0,373.0,1260.0,310.0,26.0,1935.0,8.0,5.0,62.5,2.0,25.0,1529.0,6608.0,2446.0,10.0,23.0,4.0,23.0,14.0,1440.0,55.0,Matches,Midfield,Defensive Midfield
1866,Pedro Neto,pt POR,"FW,MF",Wolves,eng Premier League,23.0,2000.0,16.8,2.0,36.0,12.0,33.3,2.14,0.71,0.06,0.17,16.8,3.0,0.0,0.0,3.5,3.5,0.1,-1.5,-1.5,Matches,538.0,722.0,74.5,8269.0,1984.0,308.0,354.0,87.0,154.0,210.0,73.3,49.0,98.0,50.0,9.0,4.4,3.7,4.6,38.0,23.0,29.0,12.0,54.0,Matches,722.0,645.0,73.0,23.0,1.0,5.0,115.0,14.0,34.0,16.0,10.0,2.0,538.0,4.0,17.0,Matches,75.0,4.45,41.0,15.0,8.0,4.0,7.0,0.0,14.0,0.83,8.0,2.0,2.0,1.0,1.0,0.0,Matches,7.0,3.0,3.0,2.0,2.0,5.0,15.0,33.3,10.0,5.0,1.0,4.0,5.0,12.0,2.0,0.0,Matches,904.0,4.0,63.0,358.0,505.0,83.0,904.0,88.0,37.0,42.0,42.0,47.7,581.0,4915.0,2615.0,98.0,65.0,42.0,44.0,20.0,683.0,149.0,Matches,Attack,Left Winger
1867,Pedro Obiang,gq EQG,MF,Sassuolo,it Serie A,31.0,1992.0,5.0,0.0,2.0,0.0,0.0,0.4,0.0,0.0,,28.8,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,Matches,152.0,188.0,80.9,2551.0,813.0,72.0,79.0,91.1,66.0,77.0,85.7,11.0,21.0,52.4,0.0,0.7,0.4,-0.7,5.0,10.0,4.0,0.0,21.0,Matches,188.0,177.0,11.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,4.0,Matches,10.0,1.99,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,8.0,4.0,3.0,4.0,1.0,2.0,10.0,20.0,8.0,6.0,4.0,2.0,8.0,16.0,10.0,0.0,Matches,229.0,19.0,66.0,127.0,41.0,1.0,229.0,3.0,2.0,66.7,1.0,33.3,118.0,462.0,183.0,4.0,3.0,0.0,1.0,1.0,131.0,2.0,Matches,Midfield,Central Midfield
1868,Pedro Pereira,pt POR,DF,Monza,it Serie A,25.0,1998.0,9.3,0.0,3.0,0.0,0.0,0.32,0.0,0.0,,14.9,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,Matches,406.0,517.0,78.5,6526.0,2297.0,215.0,234.0,91.9,158.0,195.0,81.0,25.0,57.0,43.9,2.0,1.2,1.0,0.8,14.0,41.0,15.0,10.0,43.0,Matches,517.0,448.0,66.0,2.0,0.0,2.0,37.0,64.0,0.0,0.0,0.0,0.0,406.0,3.0,17.0,Matches,26.0,2.78,24.0,0.0,1.0,1.0,0.0,0.0,2.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0,Matches,19.0,13.0,14.0,4.0,1.0,9.0,17.0,52.9,8.0,15.0,2.0,13.0,4.0,23.0,18.0,0.0,Matches,600.0,22.0,164.0,261.0,179.0,15.0,600.0,11.0,5.0,45.5,4.0,36.4,361.0,1501.0,886.0,20.0,18.0,3.0,6.0,8.0,401.0,69.0,Matches,Defender,Right-Back
1869,Pedro Porro,es ESP,DF,Tottenham,eng Premier League,23.0,1999.0,34.3,3.0,53.0,12.0,22.6,1.54,0.35,0.06,0.25,21.0,4.0,0.0,0.0,2.9,2.9,0.06,0.1,0.1,Matches,1806.0,2369.0,76.2,27440.0,10519.0,1057.0,1171.0,90.3,579.0,745.0,77.7,121.0,297.0,40.7,7.0,7.2,6.0,-0.2,51.0,135.0,48.0,10.0,194.0,Matches,2369.0,1907.0,451.0,56.0,14.0,11.0,198.0,295.0,100.0,36.0,36.0,1.0,1806.0,11.0,68.0,Matches,107.0,3.12,66.0,28.0,4.0,5.0,4.0,0.0,12.0,0.35,9.0,3.0,0.0,0.0,0.0,0.0,Matches,91.0,63.0,43.0,34.0,14.0,62.0,120.0,51.7,58.0,63.0,18.0,45.0,34.0,125.0,102.0,3.0,Matches,2786.0,161.0,783.0,1098.0,929.0,69.0,2786.0,57.0,26.0,45.6,24.0,42.1,1369.0,5484.0,2925.0,57.0,46.0,10.0,37.0,15.0,1670.0,158.0,Matches,Defender,Right-Back
1871,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,eng Premier League,30.0,1993.0,12.2,0.0,11.0,1.0,9.1,0.9,0.08,0.0,0.0,19.7,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,Matches,268.0,364.0,73.6,4413.0,1102.0,123.0,141.0,87.2,110.0,143.0,76.9,16.0,36.0,44.4,0.0,0.4,1.4,-0.4,6.0,17.0,13.0,2.0,34.0,Matches,364.0,338.0,24.0,7.0,0.0,7.0,11.0,8.0,2.0,0.0,0.0,0.0,268.0,2.0,13.0,Matches,19.0,1.55,12.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,13.0,5.0,6.0,6.0,1.0,5.0,9.0,55.6,4.0,15.0,7.0,8.0,9.0,22.0,16.0,3.0,Matches,481.0,30.0,114.0,240.0,130.0,15.0,481.0,16.0,9.0,56.3,6.0,37.5,235.0,961.0,378.0,10.0,7.0,5.0,12.0,16.0,270.0,15.0,Matches,Midfield,Defensive Midfield
